global_product_id,source_platform_std,total_reviews,avg_rating,avg_sentiment_score,positive_reviews,negative_reviews,neutral_reviews,positive_sentiment_pct,negative_sentiment_pct,review_quality_score,active_days
tiki_50456405,tiki,100,4.14,0.0,0,0,100,0.0,0.0,0.75,1
tiki_26242002,tiki,100,3.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_16308170,tiki,100,4.49,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10113725,tiki,100,4.74,0.0,0,0,100,0.0,0.0,0.75,1
tiki_274101262,tiki,100,4.78,0.0,0,0,100,0.0,0.0,0.75,1
tiki_55523366,tiki,100,4.68,0.0,0,0,100,0.0,0.0,0.75,1
tiki_162772687,tiki,100,4.65,0.0,0,0,100,0.0,0.0,0.75,1
tiki_561879,tiki,100,4.81,0.0,0,0,100,0.0,0.0,0.75,1
tiki_56196502,tiki,100,4.22,0.0,0,0,100,0.0,0.0,0.75,1
tiki_56197070,tiki,100,4.07,0.0,0,0,100,0.0,0.0,0.75,1
tiki_855600,tiki,100,4.36,0.0,0,0,100,0.0,0.0,0.75,1
tiki_15972213,tiki,100,4.72,0.0,0,0,100,0.0,0.0,0.75,1
tiki_8608925,tiki,100,4.28,0.0,0,0,100,0.0,0.0,0.75,1
tiki_85255282,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_49291897,tiki,100,4.14,0.0,0,0,100,0.0,0.0,0.75,1
tiki_49241132,tiki,100,4.38,0.0,0,0,100,0.0,0.0,0.75,1
tiki_4889007,tiki,100,4.35,0.0,0,0,100,0.0,0.0,0.75,1
tiki_56608719,tiki,100,3.97,0.0,0,0,100,0.0,0.0,0.75,1
tiki_566309,tiki,100,4.49,0.0,0,0,100,0.0,0.0,0.75,1
tiki_157511267,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10152418,tiki,100,3.76,0.0,0,0,100,0.0,0.0,0.75,1
tiki_21143106,tiki,100,4.83,0.0,0,0,100,0.0,0.0,0.75,1
tiki_275589562,tiki,100,4.24,0.0,0,0,100,0.0,0.0,0.75,1
tiki_15686499,tiki,100,4.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_15677446,tiki,100,4.31,0.0,0,0,100,0.0,0.0,0.75,1
tiki_8378816,tiki,100,4.27,0.0,0,0,100,0.0,0.0,0.75,1
tiki_155463025,tiki,100,4.92,0.0,0,0,100,0.0,0.0,0.75,1
tiki_275601556,tiki,100,4.64,0.0,0,0,100,0.0,0.0,0.75,1
tiki_8288935,tiki,100,4.75,0.0,0,0,100,0.0,0.0,0.75,1
tiki_82861299,tiki,100,4.57,0.0,0,0,100,0.0,0.0,0.75,1
tiki_179980981,tiki,100,4.9,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57003467,tiki,100,4.82,0.0,0,0,100,0.0,0.0,0.75,1
tiki_154835064,tiki,100,4.28,0.0,0,0,100,0.0,0.0,0.75,1
tiki_179981013,tiki,100,4.87,0.0,0,0,100,0.0,0.0,0.75,1
tiki_275703607,tiki,100,4.8,0.0,0,0,100,0.0,0.0,0.75,1
tiki_9948023,tiki,100,4.74,0.0,0,0,100,0.0,0.0,0.75,1
tiki_10379317,tiki,100,4.6,0.0,0,0,100,0.0,0.0,0.75,1
tiki_86267527,tiki,100,4.86,0.0,0,0,100,0.0,0.0,0.75,1
tiki_275909699,tiki,100,4.71,0.0,0,0,100,0.0,0.0,0.75,1
tiki_154706046,tiki,100,4.32,0.0,0,0,100,0.0,0.0,0.75,1
tiki_8209696,tiki,100,4.44,0.0,0,0,100,0.0,0.0,0.75,1
tiki_48314948,tiki,100,4.5,0.0,0,0,100,0.0,0.0,0.75,1
tiki_15366901,tiki,100,4.0,0.0,0,0,100,0.0,0.0,0.75,1
tiki_104261141,tiki,100,4.4,0.0,0,0,100,0.0,0.0,0.75,1
tiki_104272493,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57268501,tiki,100,4.63,0.0,0,0,100,0.0,0.0,0.75,1
tiki_81613252,tiki,100,4.73,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57307532,tiki,100,4.45,0.0,0,0,100,0.0,0.0,0.75,1
tiki_573697,tiki,100,4.58,0.0,0,0,100,0.0,0.0,0.75,1
tiki_23490593,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_180912,tiki,100,4.22,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57521320,tiki,100,4.54,0.0,0,0,100,0.0,0.0,0.75,1
tiki_151564798,tiki,100,4.21,0.0,0,0,100,0.0,0.0,0.75,1
tiki_105513634,tiki,100,4.13,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57523356,tiki,100,4.77,0.0,0,0,100,0.0,0.0,0.75,1
tiki_8077988,tiki,100,4.15,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57705006,tiki,100,4.46,0.0,0,0,100,0.0,0.0,0.75,1
tiki_79887552,tiki,100,3.61,0.0,0,0,100,0.0,0.0,0.75,1
tiki_27676319,tiki,100,4.64,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57759987,tiki,100,3.93,0.0,0,0,100,0.0,0.0,0.75,1
tiki_206231163,tiki,100,4.19,0.0,0,0,100,0.0,0.0,0.75,1
tiki_20586643,tiki,100,4.45,0.0,0,0,100,0.0,0.0,0.75,1
tiki_20557823,tiki,100,4.47,0.0,0,0,100,0.0,0.0,0.75,1
tiki_4688897,tiki,100,4.23,0.0,0,0,100,0.0,0.0,0.75,1
tiki_57913615,tiki,100,4.92,0.0,0,0,100,0.0,0.0,0.75,1
